"Database Search","Title","Working Paper Series","Book (Chapter)","(Book) Series","Conference","Journal","Author(s)","Year","Empirical","Theoretical","Free product, cash back","Vouchers, gift card, coupon, reward points, bonus points, credits","Give-to-Get","Lottery","Discount, rebate","Pay per view/click","Money","Badge/Elite/level/rank/status","Donation/charitable incentives","Helping or compassionate incentive","Social incentives/norms","Service Strategy","Incentive not clear"
"Scopus Keyword Search","Motivation of online additional review based on grounded theory","","","Advances in Intelligent Systems and Computing","","","Ruan and Cheng","2021","x","","x","x","","","","","","","","","","",""
"Scopus Keyword Search","Recognise me or pay me? How rewards for online restaurant reviews impact continuity: A cross-country investigation","","","","","International Journal of Hospitality Management","Labsomboonsiri et al.","2022","x","","","","","","","","","","","","","",""
"Scopus Keyword Search","Smart users: Effort management in earning rewards","","","","","Annals of Tourism Research","Liu et al.","2024","x","","","x","","","","","","","","","","",""
"Scopus Keyword Search","The role of badges to spur frequent travelers to write online reviews","","","","","Journal of Hospitality and Tourism Technology","Moro and Stellacci","2023","x","","","","","","","","","x","","","","",""
"Scopus Keyword Search","Privacy in the sharing economy: Why don't users disclose their negative experiences?","","","","","International Journal of Information Management","Zhu and Grover","2022","x","","","","","","","","x","","","","","",""
"Scopus Keyword Search","WHat motivates posting online travel reviews? integrating gratifications with technological acceptance factors","","","","","Tourism and Hospitality Management","Bakshi et al.","2019","x","","","x","","","","","x","","","","","",""
"Scopus Keyword Search","The paradox of (dis)trust in sponsorship disclosure: The characteristics and effects of sponsored online consumer reviews","","","","","Decision Support Systems","Kim et al.","2019","x","","x","","","","x","","","","","","","",""
"Scopus Keyword Search","The Impact of Online Reviews Manipulation on Consumer Purchase Decision Based on The Perspective of Consumers’ Perception","","","","","Journal of Internet Technology","Zhong et al.","2023","x","","","","","","","","x","","","","","",""
"Scopus Keyword Search","Not just for the recommender: How eWOM incentives influence the recommendation audience","","","","","Journal of Business Research","Reimer and Benkenstein","2018","x","","","x","","","","","","","x","x","","",""
"Scopus Keyword Search","The importance of being earnest: Mandatory vs. voluntary disclosure of incentives for online product reviews","","","","","Journal of Business Research","Cui et al.","2022","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","WHEN PAYING FOR REVIEWS PAYS OFF: THE CASE OF PERFORMANCE-CONTINGENT MONETARY REWARDS","","","","","MIS Quarterly","Yu et al.","2022","x","","","x","","","","","","","","","","",""
"Scopus Keyword Search","What drives consumers to post more photos in online reviews? A trait activation theory perspective","","","","","International Journal of Contemporary Hospitality Management","Cai et al.","2024","x","","","","","","","","","x","","","","",""
"Scopus Keyword Search","The Effectiveness of Non-Persistent Social Status as an Incentive Mechanism","","","","Pacific Asia Conference on Information Systems (PACIS)","","Wei et al.","2019","x","","","","","","","","","x","","","","",""
"Scopus Keyword Search","Monetary Incentives, Online Reviews, and Product Sales: An Empirical Investigation","","","","International Conference on Information Systems (ICIS)","","Wang et al.","2016","x","","","x","","","","","","","","","","",""
"Scopus Keyword Search","From a Penny to Self-Disgust: How Cashback Rewards for Favorable Comments and Relationship Norms Affect Consumers’ Post-Purchase Behavioral Intentions","","","","","Journal of Theoretical and Applied Electronic Commerce Research","Guo","2024","x","","","x","","","","","","","","","","",""
"Scopus Keyword Search","Unveiling the impacts of performance-contingent incentivized reviews on subsequent supplementary reviews","","","","","Information Processing and Management","Ma et al.","2024","x","","","","","","","","","x","","","","",""
"Scopus Keyword Search","Intention to write reviews: influence of personality traits, attitude and motivational factors","","","","","Journal of Systems and Information Technology","Tata et al.","2021","x","","","","","","","","","","","","","","x"
"Scopus Keyword Search","Why did I buy this? The effect of WOM and online reviews on post purchase attribution for product outcomes","","","","","Journal of Research in Interactive Marketing","Jacobsen","2018","x","","","x","","","","","","","","","","",""
"Scopus Keyword Search","ONLINE FREE PRODUCT SAMPLING: THE RECIPROCITY AND DIAGNOSTICITY EFFECTS","","","","","Journal of Electronic Commerce Research","Shi et al.","2023","x","","x","","","","","","","","","","","",""
